id,title,verdict,reason,has_photo,is_historic,step_count,ingredient_count,abv_present,glass_present
cck_0441309784d51802f564ff,Alizé (drink),FIX,abv_missing;no_image_modern;no_spirit_in_ings,0,0,3,1,0,1
cck_044a62f0128b1fa5ee5f40,Queens Punch,KEEP,,0,1,8,7,1,1
cck_044d0125d43605d9461cfa,Orange Oasis,KEEP,,1,0,2,4,1,1
cck_045139f170cc2425ed6c23,Bahia,FIX,abv_missing;no_image_modern;glass_type_field_missing,0,0,4,4,0,1
cck_045e57706b9eec8fb61fcd,Ruby Royal Cocktail,KEEP,,0,1,5,0,1,1
cck_0474739a271f37469904cf,Daiquiri (Modern Spec),KEEP,,0,0,2,3,1,1
cck_04afca20591a61f6cd0751,Black Russian,KEEP,,1,0,2,2,1,1
cck_04c4a6069be379b67fa7d9,Brandy punch (chaud),KEEP,,0,1,2,5,1,1
cck_04e14e33b003f9595b6c91,Sherry Negroni,KEEP,,0,0,3,3,1,1
cck_04e3d007eece3a554242ad,September Morn Cocktail--Country Club Style,KEEP,,0,1,7,0,1,1
cck_04e719b3959313a08fb6fb,Frozen Rosé (Frosé),KEEP,,0,0,4,4,1,1
cck_04f8e557c2167a2c8fe914,Hot Toddy (Modern Spec),KEEP,,0,0,3,4,1,1
cck_05027e158f68f461f9de68,Fish Club Punch (for a Party of 8),DELETE,all_undefined_ingredients,0,1,7,5,1,1
cck_0505c2b2d0416a8c4cf9aa,French 75,KEEP,,1,0,4,6,1,1
cck_051ae3093834be09bc94b9,Jockey Club Cocktail,KEEP,,0,1,1,0,0,1
cck_051ff1f441c78d2d9b58c4,Knabenschue--Country Club Style,KEEP,,0,1,7,0,1,1
cck_05266711912dcb43e00cc3,Bombay Punch (2-1/2-Gallon Mixture for 40 People),DELETE,all_undefined_ingredients,0,1,12,10,1,1
cck_05296a0f79bd98176b25bb,Sautemes Cup,KEEP,,0,1,15,0,1,1
cck_0555cca7d15e24dacfc669,Junkins Cocktail,KEEP,,0,1,5,0,1,1
cck_056b32fd2f9a1c016f9fd9,Arrack Punch,KEEP,,0,1,1,4,1,1
cck_056d4577c9b253eaa80f83,Banyuls AOC,FIX,abv_missing;no_image_modern,0,0,3,3,0,1
cck_0585843a21a7c96863966c,Emerald Cocktail,KEEP,,0,1,4,0,1,1
cck_05bb720c260790f60aa869,Chocolate Cocktail,FIX,vague_one_sentence;abv_missing;glass_type_field_missing,1,1,1,0,0,0
cck_05ce2bae5957747c6e6d40,Ogwa-cha,FIX,abv_missing;no_image_modern;glass_type_field_missing,0,0,4,5,0,1
cck_05e9f24f260ca394871497,Port Wine Punch,KEEP,,0,1,7,4,1,1
cck_05ebcd8adcc566bc83527b,Magnus,FIX,abv_missing;glass_type_field_missing,0,1,2,0,0,1
cck_05fc42d18d2e9e5cc14402,Bonanza,KEEP,,0,1,1,2,1,1
cck_05fe0b109529b416b2b116,Wibble,KEEP,,0,0,2,6,1,1
cck_060306c01cba1b3c1b91b7,Calasaya Cocktail,KEEP,,0,1,2,2,1,1
cck_06187acd6b40f0032f8557,Bronx Cocktail,DELETE,all_undefined_ingredients,1,1,7,4,1,1
cck_0645f9233cb90d6dcf71db,Whistle Belly Vengeance,DELETE,single_ing_no_measure,0,0,4,1,0,1
cck_064b367fd079f550e2703a,Mississippi Planters Punch,KEEP,,1,0,2,6,1,1
cck_0655e371ee9e6eda3601ca,Saratoga Cocktail,FIX,abv_missing;glass_type_field_missing,0,1,1,0,0,1
cck_0661175d1c90fa78e25156,The Paradise Syndrome,FIX,abv_missing;no_image_modern;glass_type_field_missing,0,0,4,6,0,1
cck_067003283afc34bafe46aa,Saketini,KEEP,,0,0,3,2,1,1
cck_067b03d17b05dcc36e85c6,Frank's Reîresher,KEEP,,0,1,2,4,1,1
cck_0689c432704366ec76339a,Flaming B-52,KEEP,,0,0,2,3,1,1
cck_069391822668a27b401082,Famous Brace up,KEEP,,0,1,2,5,1,1
cck_0698d7a7cb8f6094688c83,United Service Punch,KEEP,,0,1,3,1,1,1
cck_06a301ac35c9f9558d0201,Lemon Squash,DELETE,abv_without_alcohol,0,1,3,1,1,1
cck_06baf9945be3183fd16b60,Oriental Punch,KEEP,,0,1,1,1,1,1
cck_06c225a86363b0ff851bd7,Golden dream (cocktail),KEEP,,0,0,2,4,1,1
cck_06e4f5aa8cb7d037f6aab3,Arrack Punch,KEEP,,0,1,3,3,1,1
cck_06f3bef88d2768c91ad32d,Darkwood Sling,KEEP,,1,0,5,4,0,1
